EDCS-ID,publication,province,place,inscription,inscription_conservative_cleaning,inscription_interpretive_cleaning,inscr_type,status_notation,inscr_process,clean_text_conservative,clean_text_interpretive_word,status,material,partner_link,dating_from,dating_to,date_not_before,date_not_after,latitude,longitude,photo,raw_dating,language,comment,extra_text,extra_html
EDCS-38600077,"ICUR-01, 00057 = AE 2016, +00086",Roma,Roma,Fl(avius) Felicissimus pater Fl(avio) Eutychio Iu[3] / qu<i=L> vixit an(nos) VLII m(enses) VIIII d(ies) VII d(epositus) II<V=L> Kal(endas) N[ov(embres) 3],Fl Felicissimus pater Fl Eutychio Iu quL vixit an VLII m VIIII d VII d IIL Kal N,Flavius Felicissimus pater Flavio Eutychio Iu qui vixit annos VLII menses VIIII dies VII depositus IIV Kalendas Novembres,"['inscriptiones christianae', 'tituli sepulcrales']","['tria nomina', 'viri']",{},Fl Felicissimus pater Fl Eutychio Iu quL vixit an VLII m VIIII d VII d IIL Kal N,Flavius Felicissimus pater Flavio Eutychio Iu qui vixit annos VLII menses VIIII dies VII depositus IIV Kalendas Novembres,inscriptiones christianae;  tituli sepulcrales;  tria nomina;  viri,lapis,http://db.edcs.eu/epigr/partner.php?s_language=en&param=J27423;bu_ICUR%26bibl_volume=1%26bibl_subvolume=%26bibl_insc=57,801.0,900.0,801.0,900.0,41.8933203,12.4829321,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp,801 to 900,,,,
EDCS-82200100,IRT 01209,Africa proconsularis,En-Ngila,[In hoc t]umulo iacet corpus bon(a)e memo/ri(a)e Cora[3]G[3 vix]it in (h)oc s(a)eculo (!) XXVII exit de (h)oc s(a)eculo in anno / VI m(i)ll(esim)o CCCCLXXVII indictio(ne) II in mense Fe<b=U>r(u)arius requiem (a)eterna(m) lu<g=C>(e)at [tibi(?)],umulo iacet corpus bone memorie Cora G it in oc seculo XXVII exit de oc seculo in anno VI mllo CCCCLXXVII indictio II in mense FeUrarius requiem eterna luCat,In hoc tumulo iacet corpus bonae memoriae Cora G vixit in hoc saeculo XXVII exit de hoc saeculo in anno VI millesimo CCCCLXXVII indictione II in mense Februarius requiem aeternam lugeat tibi,"['inscriptiones christianae', 'tituli operum', 'tituli sepulcrales']",{},{},umulo iacet corpus bone memorie Cora G it in oc seculo XXVII exit de oc seculo in anno VI mllo CCCCLXXVII indictio II in mense FeUrarius requiem eterna luCat,In hoc tumulo iacet corpus bonae memoriae Cora G vixit in hoc saeculo XXVII exit de hoc saeculo in anno VI millesimo CCCCLXXVII indictione II in mense Februarius requiem aeternam lugeat tibi,inscriptiones christianae;  tituli operum;  tituli sepulcrales,lapis,http://db.edcs.eu/epigr/partner.php?s_language=en&param=IRT1209.html,969.0,969.0,969.0,969.0,32.7462777,13.0316768,,969 to 969,,,,
EDCS-74800477,In-Scription-02-05-2019,Gallia Narbonensis,Arles / Arelate,veniam(?)] dedit omnibus unam / [3 sol]vere qui potuit / [3] annus culminis huius / [3 don]et in arce poli / [3]oq(ue) sophismate pollens / [3 prae]sulis officio / [,veniam dedit omnibus unam vere qui potuit annus culminis huius et in arce poli oq sophismate pollens sulis officio,veniam dedit omnibus unam solvere qui potuit annus culminis huius donet in arce poli o que sophismate pollens praesulis officio,carmina,officium/professio,{},veniam dedit omnibus unam vere qui potuit annus culminis huius et in arce poli oq sophismate pollens sulis officio,veniam dedit omnibus unam solvere qui potuit annus culminis huius donet in arce poli o que sophismate pollens praesulis officio,carmina;  officium/professio,lapis,,801.0,1100.0,801.0,1100.0,43.6776223,4.6309653,,801 to 1100,,http://in-scription.edel.univ-poitiers.fr/index.php?id=331,,
EDCS-78300405,"ICPC 00135 = Sartori-2020, 00010",Transpadana / Regio XI,Milano / Mediolanum,Walpertus subdiaconus fieri iussit // Hoc fabricavit opus Walp(er)tus amore parentum / orent ut reddat pr(ae)mia digna deus / quod Mediolano multo deferre labore / hic studuit cupiens obtinuisse suo // Vade dormitum / rebuc / carpentum / bona nocte,Walpertus subdiaconus fieri iussit Hoc fabricavit opus Walptus amore parentum orent ut reddat prmia digna deus quod Mediolano multo deferre labore hic studuit cupiens obtinuisse suo Vade dormitum rebuc carpentum bona nocte,Walpertus subdiaconus fieri iussit Hoc fabricavit opus Walpertus amore parentum orent ut reddat praemia digna deus quod Mediolano multo deferre labore hic studuit cupiens obtinuisse suo Vade dormitum rebuc carpentum bona nocte,"['inscriptiones christianae', 'tituli operum']","['nomen singulare', 'sacerdotes christiani', 'viri']",{},Walpertus subdiaconus fieri iussit Hoc fabricavit opus Walptus amore parentum orent ut reddat prmia digna deus quod Mediolano multo deferre labore hic studuit cupiens obtinuisse suo Vade dormitum rebuc carpentum bona nocte,Walpertus subdiaconus fieri iussit Hoc fabricavit opus Walpertus amore parentum orent ut reddat praemia digna deus quod Mediolano multo deferre labore hic studuit cupiens obtinuisse suo Vade dormitum rebuc carpentum bona nocte,inscriptiones christianae;  nomen singulare;  sacerdotes christiani;  tituli operum;  viri,lapis,,901.0,1000.0,901.0,1000.0,45.4674989,9.1903381,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Sartori-2020_00010_1.jpg;$Sartori-2020_00010_2.jpg;$Sartori-2020_00010_3.jpg;$Sartori-2020_00010_4.jpg;$ICPC_00135_1.jpg;$ICPC_00135_2.jpg,901 to 1000,,"crux, auf einer cinerarium des 2. Jahrhunderts",,
EDCS-82200096,IRT 01205,Africa proconsularis,En-Ngila,[In hoc tumulo iacet corpus bonae memoriae 3 vixit] / [plus minus] in hoc s(ae)c(u)lo annos [3 sub qua]r[t]adecima [die mensis 3] in anno [VI mill(esim)o] / DXXVIIII indi[c(tione)] quarta migra<v=B>it de hoc s(ae)c(u)lo requiem (a)eterna[m] / (h)abeat et [vita]m (a)ete[rna]m pos[sidea]t cum s(an)c(t)is et electis am(en),in hoc sclo annos r adecima in anno DXXVIIII indi quarta migraBit de hoc sclo requiem eterna abeat et m ete m pos t cum scis et electis am,In hoc tumulo iacet corpus bonae memoriae vixit plus minus in hoc saeculo annos sub quartadecima die mensis in anno VI millesimo DXXVIIII indictione quarta migravit de hoc saeculo requiem aeternam habeat et vitam aeternam possideat cum sanctis et electis amen,"['inscriptiones christianae', 'tituli operum', 'tituli sepulcrales']",{},{},in hoc sclo annos r adecima in anno DXXVIIII indi quarta migraBit de hoc sclo requiem eterna abeat et m ete m pos t cum scis et electis am,In hoc tumulo iacet corpus bonae memoriae vixit plus minus in hoc saeculo annos sub quartadecima die mensis in anno VI millesimo DXXVIIII indictione quarta migravit de hoc saeculo requiem aeternam habeat et vitam aeternam possideat cum sanctis et electis amen,inscriptiones christianae;  tituli operum;  tituli sepulcrales,lapis,http://db.edcs.eu/epigr/partner.php?s_language=en&param=IRT1205.html,1021.0,1021.0,1021.0,1021.0,32.7462777,13.0316768,,1021 to 1021,,,,
EDCS-82200104,IRT 01213,Africa proconsularis,En-Ngila,[In hoc] tumulo ia<c=K>et <c=K>orpus bon(a)e memori(a)e ab(b)a Petrus mon(ach)u(s) / <v=B>ixit in pa<c=K>e annos plus minus LXXV re<c=K>essit de (h)o<c=K> s(a)e/<c=K>ulo sub die XXI indictionis X requiem (a)eternam det / tibi dominus et l(u)x perpetua lu<g=K>eat tibi indulgentia // S(an)<c=K>(tu)s s(an)<c=K>(tu)s s(an)<c=K>(tu)s d(omi)n(u)s d(eu)s Sabaoth S(an)<c=K>(tu)s S(an)<c=K>(tu)s,tumulo iaKet Korpus bone memorie aba Petrus monu Bixit in paKe annos plus minus LXXV reKessit de oK seKulo sub die XXI indictionis X requiem eternam det tibi dominus et lx perpetua luKeat tibi indulgentia SKs sKs sKs dns ds Sabaoth SKs SKs,In hoc tumulo iacet corpus bonae memoriae abba Petrus monachus vixit in pace annos plus minus LXXV recessit de hoc saeculo sub die XXI indictionis X requiem aeternam det tibi dominus et lux perpetua lugeat tibi indulgentia Sanctus sanctus sanctus dominus deus Sabaoth Sanctus Sanctus,"['inscriptiones christianae', 'tituli operum', 'tituli sepulcrales']","['nomen singulare', 'sacerdotes christiani', 'viri']",{},tumulo iaKet Korpus bone memorie aba Petrus monu Bixit in paKe annos plus minus LXXV reKessit de oK seKulo sub die XXI indictionis X requiem eternam det tibi dominus et lx perpetua luKeat tibi indulgentia SKs sKs sKs dns ds Sabaoth SKs SKs,In hoc tumulo iacet corpus bonae memoriae abba Petrus monachus vixit in pace annos plus minus LXXV recessit de hoc saeculo sub die XXI indictionis X requiem aeternam det tibi dominus et lux perpetua lugeat tibi indulgentia Sanctus sanctus sanctus dominus deus Sabaoth Sanctus Sanctus,inscriptiones christianae;  nomen singulare;  sacerdotes christiani;  tituli operum;  tituli sepulcrales;  viri,lapis,http://db.edcs.eu/epigr/partner.php?s_language=en&param=IRT1213.html,951.0,1050.0,951.0,1050.0,32.7462777,13.0316768,,951 to 1050,,crux,,
EDCS-82200095,IRT 01204,Africa proconsularis,En-Ngila,In hoc tumulo ia<c=K>et <c=K>orpus bon(a)e memori(a)e Fokio[n(?) 3] / miseri<c=K>ordia d(e)i plus minus annos L re<c=K>essit de (h)o<c=K> s(a)e<c=K>ulo [sub die me]/sis <v=B>i<c=K>e{i}sima De<c=K>embre indi<c=K>tio(ne) o<c=K>ta<v=B>a req(u)iem (a)eternam det tibi d(omi)n(u)s / et l(u)x perpetua l(u)<g=K>eat tibi ossa arida resurgetis et <v=B>i<v=B>etis et <v=B>(i)debitis ma<i=G>e/statem d(omi)n(u)i // Saba(oth) // D(ominu)s d(eu)s // Χ(ρ)ι(στό)ς,In hoc tumulo iaKet Korpus bone memorie Fokio miseriKordia di plus minus annos L reKessit de oK seKulo sis BiKeisima DeKembre indiKtio oKtaBa reqiem eternam det tibi dns et lx perpetua lKeat tibi ossa arida resurgetis et BiBetis et Bdebitis maGestatem dni Saba Ds ds Χις,In hoc tumulo iacet corpus bonae memoriae Fokion misericordia dei plus minus annos L recessit de hoc saeculo sub die mesis vicesima Decembre indictione octava requiem aeternam det tibi dominus et lux perpetua lugeat tibi ossa arida resurgetis et vivetis et videbitis maiestatem dominui Sabaoth Dominus deus Χριστός,"['inscriptiones christianae', 'tituli operum', 'tituli sepulcrales']","['nomen singulare', 'viri']",{},In hoc tumulo iaKet Korpus bone memorie Fokio miseriKordia di plus minus annos L reKessit de oK seKulo sis BiKeisima DeKembre indiKtio oKtaBa reqiem eternam det tibi dns et lx perpetua lKeat tibi ossa arida resurgetis et BiBetis et Bdebitis maGestatem dni Saba Ds ds Χις,In hoc tumulo iacet corpus bonae memoriae Fokion misericordia dei plus minus annos L recessit de hoc saeculo sub die mesis vicesima Decembre indictione octava requiem aeternam det tibi dominus et lux perpetua lugeat tibi ossa arida resurgetis et vivetis et videbitis maiestatem dominui Sabaoth Dominus deus Χριστός,inscriptiones christianae;  nomen singulare;  tituli operum;  tituli sepulcrales;  viri,lapis,,971.0,1050.0,971.0,1050.0,32.7462777,13.0316768,,971 to 1050,,crux,,
EDCS-38700101,IHC 00212 = CIPTP p 288,Lusitania,Celorico de Basto,V(enerabilis) f(rater) d(ominus) Munius Monis h(ic) i(a)cet / in suo assisterio (a)era MLXXII,V f d Munius Monis h icet in suo assisterio era MLXXII,Venerabilis frater dominus Munius Monis hic iacet in suo assisterio aera MLXXII,"['inscriptiones christianae', 'tituli sepulcrales']","['tria nomina', 'viri']",{},V f d Munius Monis h icet in suo assisterio era MLXXII,Venerabilis frater dominus Munius Monis hic iacet in suo assisterio aera MLXXII,inscriptiones christianae;  tituli sepulcrales;  tria nomina;  viri,lapis,,1034.0,1034.0,1034.0,1034.0,41.3879363,-8.0002089,,1034 to 1034,,,,
EDCS-82200097,IRT 01206,Africa proconsularis,En-Ngila,[O] <v=B>os omnes [qui transitis per] / <v=B>iam aspicite et <v=B>idetis IFA [si est do]/lo(r) (veste)r qualis e(st) dolor meus,Bos omnes Biam aspicite et Bidetis IFA lo r qualis e dolor meus,O vos omnes qui transitis per viam aspicite et videtis IFA si est dolor vester qualis est dolor meus,"['inscriptiones christianae', 'tituli sepulcrales']",{},{},Bos omnes Biam aspicite et Bidetis IFA lo r qualis e dolor meus,O vos omnes qui transitis per viam aspicite et videtis IFA si est dolor vester qualis est dolor meus,inscriptiones christianae;  tituli sepulcrales,lapis,http://db.edcs.eu/epigr/partner.php?s_language=en&param=IRT1206.html,951.0,1050.0,951.0,1050.0,32.7462777,13.0316768,,951 to 1050,,,,
EDCS-41800130,IBC 00130,Britannia,Llanfihangel yng Ngwynfa / Llanfihangel,H(oc) est sepulcrum Wleder matris / Odelev qui primum (a)edificav[it] / hanc ec(c)lesia(m) / in t(e)mpore Ewini regis,H est sepulcrum Wleder matris Odelev qui primum edificav hanc eclesia in tmpore Ewini regis,Hoc est sepulcrum Wleder matris Odelev qui primum aedificavit hanc ecclesiam in tempore Ewini regis,"['inscriptiones christianae', 'reges', 'tituli operum']","['mulieres', 'viri']",{},H est sepulcrum Wleder matris Odelev qui primum edificav hanc eclesia in tmpore Ewini regis,Hoc est sepulcrum Wleder matris Odelev qui primum aedificavit hanc ecclesiam in tempore Ewini regis,inscriptiones christianae;  mulieres;  reges;  tituli operum;  viri,lapis,,1169.0,1169.0,1169.0,1169.0,52.741516,-3.3633223,,1169 to 1169,,DOI:10.36204/edcsj-006-202102 p. 17,,
EDCS-35802682,"ICUR-05, 14036",Roma,Roma,Morib(us) ing(enio) [pie]tate fideq(ue) decorus / Asteriu[s posit]us hic re[q]uiem meru[it] // ἤθεσι καὶ πινυτᾶ μεμελήμενος εὐσεβίῃ [τε] / Ἀστέρεος γαίῃ κάθθετο τῇδε δέμας // depositus Idibus Ianuariis in pace,Morib ing tate fideq decorus Asteriu us hic re uiem meru ἤθεσι καὶ πινυτᾶ μεμελήμενος εὐσεβίῃ Ἀστέρεος γαίῃ κάθθετο τῇδε δέμας depositus Idibus Ianuariis in pace,Moribus ingenio pietate fide que decorus Asterius positus hic requiem meruit ἤθεσι καὶ πινυτᾶ μεμελήμενος εὐσεβίῃ τε Ἀστέρεος γαίῃ κάθθετο τῇδε δέμας depositus Idibus Ianuariis in pace,"['inscriptiones christianae', 'tituli sepulcrales']","['nomen singulare', 'viri']",{},Morib ing tate fideq decorus Asteriu us hic re uiem meru ἤθεσι καὶ πινυτᾶ μεμελήμενος εὐσεβίῃ Ἀστέρεος γαίῃ κάθθετο τῇδε δέμας depositus Idibus Ianuariis in pace,Moribus ingenio pietate fide que decorus Asterius positus hic requiem meruit ἤθεσι καὶ πινυτᾶ μεμελήμενος εὐσεβίῃ τε Ἀστέρεος γαίῃ κάθθετο τῇδε δέμας depositus Idibus Ianuariis in pace,inscriptiones christianae;  nomen singulare;  tituli sepulcrales;  viri,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=J9204;m|appe|571,301.0,400.0,301.0,400.0,41.8933203,12.4829321,,301 to 400,,,,
EDCS-38600390,"ICUR-01, 00408",Roma,Roma,[3]ae bene merenti / [3 quae] vixit annis LXX et / [3 di]e(bu)s XII d(eposita) die prid(ie) Id(us) Feb(ruarias),ae bene merenti vixit annis LXX et es XII d die prid Id Feb,ae bene merenti quae vixit annis LXX et diebus XII deposita die pridie Idus Februarias,"['inscriptiones christianae', 'tituli sepulcrales']",{},{},ae bene merenti vixit annis LXX et es XII d die prid Id Feb,ae bene merenti quae vixit annis LXX et diebus XII deposita die pridie Idus Februarias,inscriptiones christianae;  tituli sepulcrales,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=J28144,301.0,400.0,301.0,400.0,41.8933203,12.4829321,,301 to 400,,,,
EDCS-38100675,"ICUR-02, 05091 = ILCV 03159a",Roma,Roma,Hic req[uiesc]it in pace Luminusus qui vi<x=S>it / ann<o=V>s pl(us) m(inus) [3] dep(ositus) VIII A(u)gust(as) XV p(ost) c(onsulatum) Basili v(iri) c(larissimi),Hic req it in pace Luminusus qui viSit annVs pl m dep VIII Agust XV p c Basili v c,Hic requiescit in pace Luminusus qui vixit annos plus minus depositus VIII Augustas XV post consulatum Basili viri clarissimi,"['inscriptiones christianae', 'tituli sepulcrales']","['nomen singulare', 'viri']",{},Hic req it in pace Luminusus qui viSit annVs pl m dep VIII Agust XV p c Basili v c,Hic requiescit in pace Luminusus qui vixit annos plus minus depositus VIII Augustas XV post consulatum Basili viri clarissimi,inscriptiones christianae;  nomen singulare;  tituli sepulcrales;  viri,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=bu_ICUR%26bibl_volume=2%26bibl_subvolume=%26bibl_insc=5091,301.0,500.0,301.0,500.0,41.8933203,12.4829321,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ICUR_02_05091.jpg,301 to 500,,,,
EDCS-32900471,"ICUR-06, 17252 = ILCV 02792 (em) = ICaRoma 00013 = Carletti-2008, 00096 = AE 2010, +00166",Roma,Roma,Lepusc(u)lus Leo / qui vixit an(n)um / et mens<e=I>s undeci(m) / et dies dece(m) et nove(m) / peri(i)t septimu(m) <K=C>a/lendas Augustas / (H)onorio sexi(e)s A(u)gusto,Lepusclus Leo qui vixit anum et mensIs undeci et dies dece et nove perit septimu Calendas Augustas onorio sexis Agusto,Lepusculus Leo qui vixit annum et menses undecim et dies decem et novem periit septimum Kalendas Augustas Honorio sexies Augusto,"['inscriptiones christianae', 'tituli sepulcrales']","['tria nomina', 'viri']",{},Lepusclus Leo qui vixit anum et mensIs undeci et dies dece et nove perit septimu Calendas Augustas onorio sexis Agusto,Lepusculus Leo qui vixit annum et menses undecim et dies decem et novem periit septimum Kalendas Augustas Honorio sexies Augusto,inscriptiones christianae;  tituli sepulcrales;  tria nomina;  viri,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=J8725;bu_ILCV%26bibl_volume=%26bibl_subvolume=%26bibl_insc=2792,404.0,404.0,404.0,404.0,41.8933203,12.4829321,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Carletti-01_00096.jpg;pp,404 to 404,,,,
EDCS-72300007,"Camodeca-2017a, p 89,2 = AE 2017, 00250",Latium et Campania / Regio I,Teano / Teanum Sidicinum,[Hic requiesc]it in pace s(an)c(tae) [m(emoriae)] / [3] p(res)b(yter) qui vixit / [annos p(lus) m(inus) 3 de]positus sub d(ie) / [3 p(ost) c(onsulatum) Basi]li v(iri) c(larissimi) co(n)s(ulis),it in pace sc pb qui vixit positus sub d li v c cos,Hic requiescit in pace sanctae memoriae presbyter qui vixit annos plus minus depositus sub die post consulatum Basili viri clarissimi consulis,"['inscriptiones christianae', 'tituli sepulcrales']","['sacerdotes christiani', 'viri']",{},it in pace sc pb qui vixit positus sub d li v c cos,Hic requiescit in pace sanctae memoriae presbyter qui vixit annos plus minus depositus sub die post consulatum Basili viri clarissimi consulis,inscriptiones christianae;  sacerdotes christiani;  tituli sepulcrales;  viri,lapis,http://db.edcs.eu/epigr/partner.php?s_language=en&param=N165145,547.0,547.0,547.0,547.0,41.2510841,14.0671513,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Camodeca-04-89.jpg,547 to 547,,,,
EDCS-20600882,"CIL 06, 01796d,009 = CIL 06, 01796d,030 = CIL 06, 01796d,043 = CIL 06, 01796d,048 = CIL 06, 01796d,054 = CIL 06, 01796d,056 = CIL 06, 01796d,065 = CIL 06, 01796d,077 = CIL 06, 32186 = CIL 06, 32239a-c = EAOR-06, 00017,025a = EAOR-06, 00017,025d-o",Roma,Roma,[3][[[3 v(ir?)] c(larissimus)]] // [3]rini C<hr=RH>saori v(iri) c(larissimi) e[t 3] // Mari Proculi Aemiliani [3] // [[Iun[3]i]][3] // [[A[3]]] // [[6]] // [[[3]s et [3]]] // [3][[PR]][3] // [3][[PR]][3] // [[[3]CO[3]]][3] // ]]S[3]I]][3],rini Csaori v c e Mari Proculi Aemiliani Iun A s et CO S,vir clarissimus rini ChrHsaori viri clarissimi et Mari Proculi Aemiliani Iun i A s et PR PR CO S I,tituli possessionis,"['ordo senatorius', 'tria nomina', 'viri']",litterae erasae,rini Csaori v c e Mari Proculi Aemiliani Iun A s et CO S,vir clarissimus rini ChrHsaori viri clarissimi et Mari Proculi Aemiliani Iun i A s et PR PR CO S I,litterae erasae;  ordo senatorius;  tituli possessionis;  tria nomina;  viri,lapis,http://db.edcs.eu/epigr/partner.php?s_language=en&param=N171872,371.0,500.0,371.0,500.0,41.8933203,12.4829321,,371 to 500,,,,
